Fecha,Ubicacion,Local,Resultado,Visitante,year
"25 de julio de 2019, 21:30 (UTC-3)",Porto Alegre,Grêmio,2:0,Libertad,2019
"1 de agosto de 2019, 20:30 (UTC-4)",Asunción,Libertad,0:3,Grêmio,2019
"24 de julio de 2019, 19:30 (UTC-5)",Guayaquil,Emelec,2:0,Flamengo,2019
"31 de julio de 2019, 21:30 (UTC-3)",Río de Janeiro,Flamengo,2:0,Emelec,2019
"24 de julio de 2019, 19:15 (UTC-3)",Montevideo,Nacional,0:1,Internacional,2019
"31 de julio de 2019, 19:15 (UTC-3)",Porto Alegre,Internacional,2:0,Nacional,2019
"22 de agosto de 2019, 19:15 (UTC-3)",Buenos Aires,River Plate,2:0,Cerro Porteño,2019
"29 de agosto de 2019, 18:15 (UTC-4)",Asunción,Cerro Porteño,1:1,River Plate,2019
"21 de agosto de 2019, 17:15 (UTC-5)",Quito,Liga de Quito,0:3,Boca Juniors,2019
"28 de agosto de 2019, 19:15 (UTC-3)",Buenos Aires,Boca Juniors,0:0,Liga de Quito,2019
"20 de agosto de 2019, 21:30 (UTC-3)",Porto Alegre,Grêmio,0:1,Palmeiras,2019
"27 de agosto de 2019, 21:30 (UTC-3)",São Paulo,Palmeiras,1:2,Grêmio,2019
"21 de agosto de 2019, 21:30 (UTC-3)",Río de Janeiro,Flamengo,2:0,Internacional,2019
"28 de agosto de 2019, 21:30 (UTC-3)",Porto Alegre,Internacional,1:1,Flamengo,2019
"1 de octubre de 2019, 21:30 (UTC-3)",Buenos Aires,River Plate,2:0,Boca Juniors,2019
"22 de octubre de 2019, 21:30 (UTC-3)",Buenos Aires,Boca Juniors,1:0,River Plate,2019
"2 de octubre de 2019, 21:30 (UTC-3)",Porto Alegre,Grêmio,1:1,Flamengo,2019
"23 de octubre de 2019, 21:30 (UTC-3)",Río de Janeiro,Flamengo,5:0,Grêmio,2019
"23 de noviembre de 2019, 15:00 (UTC-5)",Lima,Flamengo,2:1,River Plate,2019
4 de marzo,Guayaquil,Barcelona,0:3,Independiente del Valle,2020
4 de marzo,Barranquilla,Junior,1:2,Flamengo,2020
11 de marzo,Río de Janeiro,Flamengo,3:0,Barcelona,2020
11 de marzo,Quito,Independiente del Valle,3:0,Junior,2020
17 de septiembre,Guayaquil,Barcelona,1:2,Junior,2020
17 de septiembre,Quito,Independiente del Valle,5:0,Flamengo,2020
22 de septiembre,Guayaquil,Barcelona,1:2,Flamengo,2020
22 de septiembre,Barranquilla,Junior,4:1,Independiente del Valle,2020
30 de septiembre,Barranquilla,Junior,0:2,Barcelona,2020
30 de septiembre,Río de Janeiro,Flamengo,4:0,Independiente del Valle,2020
21 de octubre,Quito,Independiente del Valle,2:0,Barcelona,2020
21 de octubre,Río de Janeiro,Flamengo,3:1,Junior,2020
4 de marzo,Victoria,Tigre,0:2,Palmeiras,2020
4 de marzo,Asunción,Guaraní,2:0,Bolívar,2020
10 de marzo,La Paz,Bolívar,2:0,Tigre,2020
10 de marzo,São Paulo,Palmeiras,3:1,Guaraní,2020
16 de septiembre,La Paz,Bolívar,1:2,Palmeiras,2020
17 de septiembre,Asunción,Guaraní,4:1,Tigre,2020
22 de septiembre,Victoria,Tigre,1:1,Bolívar,2020
23 de septiembre,Asunción,Guaraní,0:0,Palmeiras,2020
30 de septiembre,São Paulo,Palmeiras,5:0,Bolívar,2020
1 de octubre,Victoria,Tigre,1:3,Guaraní,2020
21 de octubre,La Paz,Bolívar,2:3,Guaraní,2020
21 de octubre,São Paulo,Palmeiras,5:0,Tigre,2020
3 de marzo,Curitiba,Athletico Paranaense,1:0,Peñarol,2020
4 de marzo,Cochabamba,Jorge Wilstermann,2:0,Colo-Colo,2020
11 de marzo,Santiago,Colo-Colo,1:0,Athletico Paranaense,2020
11 de marzo,Montevideo,Peñarol,1:0,Jorge Wilstermann,2020
15 de septiembre,Cochabamba,Jorge Wilstermann,2:3,Athletico Paranaense,2020
15 de septiembre,Santiago,Colo-Colo,2:1,Peñarol,2020
23 de septiembre,Curitiba,Athletico Paranaense,2:0,Colo-Colo,2020
24 de septiembre,Cochabamba,Jorge Wilstermann,3:1,Peñarol,2020
29 de septiembre,Montevideo,Peñarol,3:0,Colo-Colo,2020
29 de septiembre,Curitiba,Athletico Paranaense,0:0,Jorge Wilstermann,2020
20 de octubre,Montevideo,Peñarol,3:2,Athletico Paranaense,2020
20 de octubre,Santiago,Colo-Colo,0:1,Jorge Wilstermann,2020
4 de marzo,Quito,Liga de Quito,3:0,River Plate,2020
5 de marzo,Juliaca,Deportivo Binacional,2:1,São Paulo,2020
11 de marzo,Buenos Aires,River Plate,8:0,Deportivo Binacional,2020
11 de marzo,São Paulo,São Paulo,3:0,Liga de Quito,2020
15 de septiembre,Lima[n. 4]​,Deportivo Binacional,0:1,Liga de Quito,2020
17 de septiembre,São Paulo,São Paulo,2:2,River Plate,2020
22 de septiembre,Quito,Liga de Quito,4:2,São Paulo,2020
22 de septiembre,Lima[n. 5]​,Deportivo Binacional,0:6,River Plate,2020
29 de septiembre,Quito,Liga de Quito,4:0,Deportivo Binacional,2020
30 de septiembre,Avellaneda,River Plate,2:1,São Paulo,2020
20 de octubre,Avellaneda,River Plate,3:0,Liga de Quito,2020
20 de octubre,São Paulo,São Paulo,5:1,Deportivo Binacional,2020
3 de marzo,Porto Alegre,Internacional,3:0,Universidad Católica,2020
3 de marzo,Cali,América de Cali,0:2,Grêmio,2020
10 de marzo,Santiago,Universidad Católica,1:2,América de Cali,2020
12 de marzo,Porto Alegre,Grêmio,0:0,Internacional,2020
16 de septiembre,Porto Alegre,Internacional,4:3,América de Cali,2020
16 de septiembre,Santiago,Universidad Católica,2:0,Grêmio,2020
23 de septiembre,Cali,América de Cali,1:1,Universidad Católica,2020
23 de septiembre,Porto Alegre,Internacional,0:1,Grêmio,2020
29 de septiembre,Porto Alegre,Grêmio,2:0,Universidad Católica,2020
29 de septiembre,Cali,América de Cali,0:0,Internacional,2020
22 de octubre,Santiago,Universidad Católica,2:1,Internacional,2020
22 de octubre,Porto Alegre,Grêmio,1:1,América de Cali,2020
5 de marzo,Mérida,Estudiantes de Mérida,1:2,Racing Club,2020
5 de marzo,Lima,Alianza Lima,0:1,Nacional,2020
12 de marzo,Montevideo,Nacional,1:0,Estudiantes de Mérida,2020
12 de marzo,Avellaneda,Racing Club,1:0,Alianza Lima,2020
16 de septiembre,Mérida,Estudiantes de Mérida,3:2,Alianza Lima,2020
17 de septiembre,Avellaneda,Racing Club,0:1,Nacional,2020
22 de septiembre,Mérida,Estudiantes de Mérida,1:3,Nacional,2020
23 de septiembre,Lima,Alianza Lima,0:2,Racing Club,2020
30 de septiembre,Montevideo,Nacional,1:2,Racing Club,2020
30 de septiembre,Lima,Alianza Lima,2:2,Estudiantes de Mérida,2020
21 de octubre,Montevideo,Nacional,2:0,Alianza Lima,2020
21 de octubre,Avellaneda,Racing Club,2:1,Estudiantes de Mérida,2020
3 de marzo,Florencio Varela,Defensa y Justicia,1:2,Santos,2020
4 de marzo,Manta,Delfín,1:1,Olimpia,2020
10 de marzo,Santos,Santos,1:0,Delfín,2020
11 de marzo,Asunción,Olimpia,2:1,Defensa y Justicia,2020
15 de septiembre,Santos,Santos,0:0,Olimpia,2020
17 de septiembre,Florencio Varela,Defensa y Justicia,3:0,Delfín,2020
23 de septiembre,Florencio Varela,Defensa y Justicia,2:1,Olimpia,2020
24 de septiembre,Manta,Delfín,1:2,Santos,2020
1 de octubre,Asunción,Olimpia,2:3,Santos,2020
1 de octubre,Manta,Delfín,3:0,Defensa y Justicia,2020
20 de octubre,Asunción,Olimpia,0:1,Delfín,2020
20 de octubre,Santos,Santos,2:1,Defensa y Justicia,2020
3 de marzo,Caracas,Caracas,1:1,Boca Juniors,2020
3 de marzo,Medellín,Independiente Medellín,1:2,Libertad,2020
10 de marzo,Asunción,Libertad,3:2,Caracas,2020
10 de marzo,Buenos Aires,Boca Juniors,3:0,Independiente Medellín,2020
16 de septiembre,Medellín,Independiente Medellín,2:3,Caracas,2020
17 de septiembre,Asunción,Libertad,0:2,Boca Juniors,2020
23 de septiembre,Caracas,Caracas,2:1,Libertad,2020
24 de septiembre,Medellín,Independiente Medellín,0:1,Boca Juniors,2020
29 de septiembre,Buenos Aires,Boca Juniors,0:0,Libertad,2020
30 de septiembre,Caracas,Caracas,0:2,Independiente Medellín,2020
22 de octubre,Asunción,Libertad,2:4,Independiente Medellín,2020
22 de octubre,Buenos Aires,Boca Juniors,3:0,Caracas,2020
"25 de noviembre de 2020, 17:15 (UTC-5)",Manta,Delfín,1:3,Palmeiras,2020
"2 de diciembre de 2020, 19:15 (UTC-3)",São Paulo,Palmeiras,5:0,Delfín,2020
"25 de noviembre de 2020, 21:30 (UTC-3)",Asunción,Libertad,3:1,Jorge Wilstermann,2020
"2 de diciembre de 2020, 20:30 (UTC-4)",Cochabamba,Jorge Wilstermann,0:2,Libertad,2020
"24 de noviembre de 2020, 19:15 (UTC-3)",Curitiba,Athletico Paranaense,1:1,River Plate,2020
"1 de diciembre de 2020, 19:15 (UTC-3)",Avellaneda,River Plate,1:0,Athletico Paranaense,2020
"25 de noviembre de 2020, 17:15 (UTC-5)",Quito,Independiente del Valle,0:0,Nacional,2020
"2 de diciembre de 2020, 19:15 (UTC-3)",Montevideo,Nacional,0:0,Independiente del Valle,2020
"25 de noviembre de 2020, 21:30 (UTC-3)",Porto Alegre,Internacional,0:1,Boca Juniors,2020
"2 de diciembre de 2020, 21:30 (UTC-3)",Buenos Aires,Boca Juniors,0:1,Internacional,2020
"24 de noviembre de 2020, 21:30 (UTC-3)",Avellaneda,Racing Club,1:1,Flamengo,2020
"1 de diciembre de 2020, 21:30 (UTC-3)",Río de Janeiro,Flamengo,1:1,Racing Club,2020
"24 de noviembre de 2020, 17:15 (UTC-5)",Quito,Liga de Quito,1:2,Santos,2020
"1 de diciembre de 2020, 19:15 (UTC-3)",Santos,Santos,0:1,Liga de Quito,2020
"26 de noviembre de 2020, 21:30 (UTC-3)",Asunción,Guaraní,0:2,Grêmio,2020
"3 de diciembre de 2020, 21:30 (UTC-3)",Porto Alegre,Grêmio,2:0,Guaraní,2020
"8 de diciembre de 2020, 21:30 (UTC-3)",Asunción,Libertad,1:1,Palmeiras,2020
"15 de diciembre de 2020, 21:30 (UTC-3)",São Paulo,Palmeiras,3:0,Libertad,2020
"9 de diciembre de 2020, 19:15 (UTC-3)",Porto Alegre,Grêmio,1:1,Santos,2020
"16 de diciembre de 2020, 19:15 (UTC-3)",Santos,Santos,4:1,Grêmio,2020
"10 de diciembre de 2020, 21:30 (UTC-3)",Avellaneda,River Plate,2:0,Nacional,2020
"17 de diciembre de 2020, 21:30 (UTC-3)",Montevideo,Nacional,2:6,River Plate,2020
"16 de diciembre de 2020, 21:30 (UTC-3)",Avellaneda,Racing Club,1:0,Boca Juniors,2020
"23 de diciembre de 2020, 21:30 (UTC-3)",Buenos Aires,Boca Juniors,2:0,Racing Club,2020
"6 de enero de 2021, 19:15 (UTC-3)",Buenos Aires,Boca Juniors,0:0,Santos,2020
"13 de enero de 2021, 19:15 (UTC-3)",Santos,Santos,3:0,Boca Juniors,2020
"5 de enero de 2021, 21:30 (UTC-3)",Avellaneda,River Plate,0:3,Palmeiras,2020
