Fecha,Ubicacion,Local,Visitante,year,HomeGoals,AwayGoals
9 de septiembre,Montevideo,Defensor Sporting,Peñarol,1982,0,0
14 de septiembre,São Paulo,São Paulo,Peñarol,1982,0,1
17 de septiembre,Porto Alegre,Gremio,Peñarol,1982,3,1
21 de septiembre,São Paulo,São Paulo,Defensor Sporting,1982,2,1
24 de septiembre,Porto Alegre,Gremio,Defensor Sporting,1982,1,2
24 de marzo,San Cristóbal,Deportivo Táchira,Estudiantes de Mérida,1982,0,0
24 de marzo,Medellín,Atlético Nacional,Deportes Tolima,1982,0,3
28 de marzo,Mérida,Estudiantes de Mérida,Atlético Nacional,1982,1,3
28 de marzo,San Cristóbal,Deportivo Táchira,Deportes Tolima,1982,0,2
31 de marzo,Mérida,Estudiantes de Mérida,Deportes Tolima,1982,1,1
31 de marzo,San Cristóbal,Deportivo Táchira,Atlético Nacional,1982,0,0
14 de abril,Mérida,Estudiantes de Mérida,Deportivo Táchira,1982,1,0
14 de abril,Bogotá,Deportes Tolima,Atlético Nacional,1982,0,0
18 de abril,Medellín,Atlético Nacional,Estudiantes de Mérida,1982,2,0
18 de abril,Bogotá,Deportes Tolima,Deportivo Táchira,1982,2,2
21 de abril,Medellín,Atlético Nacional,Deportivo Táchira,1982,1,0
21 de abril,Bogotá,Deportes Tolima,Estudiantes de Mérida,1982,1,0
7 de marzo,Guayaquil,Barcelona,Liga de Quito,1982,4,1
14 de marzo,Quito,Liga de Quito,Barcelona,1982,4,2
4 de agosto,Santiago,Colo-Colo,Cobreloa,1982,0,0
18 de agosto,Quito,Liga de Quito,Colo-Colo,1982,2,2
18 de agosto,Guayaquil,Barcelona,Cobreloa,1982,1,1
22 de agosto,Quito,Liga de Quito,Cobreloa,1982,0,0
22 de agosto,Guayaquil,Barcelona,Colo-Colo,1982,1,3
7 de septiembre,Calama,Cobreloa,Barcelona,1982,3,0
7 de septiembre,Santiago,Colo-Colo,Liga de Quito,1982,1,0
10 de septiembre,Calama,Cobreloa,Liga de Quito,1982,3,1
10 de septiembre,Santiago,Colo-Colo,Barcelona,1982,2,0
22 de septiembre,Calama,Cobreloa,Colo-Colo,1982,2,0
13 de marzo,Arequipa,Melgar,Deportivo Municipal,1982,2,1
14 de marzo,Asunción,Olimpia,Sol de América,1982,1,1
20 de marzo,Lima,Deportivo Municipal,Olimpia,1982,1,2
24 de marzo,Arequipa,Melgar,Olimpia,1982,0,3
27 de marzo,Lima,Deportivo Municipal,Sol de América,1982,0,3
31 de marzo,Arequipa,Melgar,Sol de América,1982,3,2
3 de abril,Lima,Deportivo Municipal,Melgar,1982,0,2
4 de abril,Asunción,Sol de América,Olimpia,1982,1,1
14 de abril,Asunción,Sol de América,Deportivo Municipal,1982,2,1
18 de abril,Asunción,Olimpia,Deportivo Municipal,1982,1,0
21 de abril,Asunción,Sol de América,Melgar,1982,0,2
25 de abril,Asunción,Olimpia,Melgar,1982,4,0
19 de octubre,Montevideo,Peñarol,Flamengo,1982,1,0
22 de octubre,Buenos Aires,River Plate,Flamengo,1982,0,3
28 de octubre,Buenos Aires,River Plate,Peñarol,1982,2,4
2 de noviembre,Río de Janeiro,Flamengo,River Plate,1982,4,2
12 de noviembre,Montevideo,Peñarol,River Plate,1982,2,1
16 de noviembre,Río de Janeiro,Flamengo,Peñarol,1982,0,1
17 de octubre,Bogotá,Deportes Tolima,Cobreloa,1982,1,0
21 de octubre,Bogotá,Deportes Tolima,Olimpia,1982,1,1
26 de octubre,Santiago,Cobreloa,Deportes Tolima,1982,3,0
29 de octubre,Asunción,Olimpia,Deportes Tolima,1982,2,0
5 de noviembre,Asunción,Olimpia,Cobreloa,1982,1,1
10 de noviembre,Santiago,Cobreloa,Olimpia,1982,1,0
26 de noviembre,Montevideo,Peñarol,Cobreloa,1982,0,0
30 de noviembre,Santiago,Cobreloa,Peñarol,1982,0,1
17 de marzo,La Plata,Estudiantes (LP),Ferro Carril Oeste,1983,0,0
23 de marzo,Santiago,Colo-Colo,Cobreloa,1983,2,1
5 de abril,Calama,Cobreloa,Estudiantes (LP),1983,3,0
5 de abril,Santiago,Colo-Colo,Ferro Carril Oeste,1983,1,0
8 de abril,Calama,Cobreloa,Ferro Carril Oeste,1983,2,1
8 de abril,Santiago,Colo-Colo,Estudiantes (LP),1983,1,0
12 de abril,La Plata,Estudiantes (LP),Colo-Colo,1983,4,1
16 de abril,Buenos Aires,Ferro Carril Oeste,Colo-Colo,1983,1,0
10 de mayo,La Plata,Estudiantes (LP),Cobreloa,1983,2,0
13 de mayo,Buenos Aires,Ferro Carril Oeste,Cobreloa,1983,1,0
8 de junio,Calama,Cobreloa,Colo-Colo,1983,2,0
8 de junio,Buenos Aires,Ferro Carril Oeste,Estudiantes (LP),1983,1,2
4 de marzo,Porto Alegre,Gremio,Flamengo,1983,1,1
13 de marzo,La Paz,Bolívar,Blooming,1983,6,0
22 de marzo,Santa Cruz,Blooming,Gremio,1983,0,2
25 de marzo,La Paz,Bolívar,Gremio,1983,1,2
5 de abril,Santa Cruz,Blooming,Flamengo,1983,0,0
8 de abril,La Paz,Bolívar,Flamengo,1983,3,1
15 de abril,Santa Cruz,Blooming,Bolívar,1983,3,0
22 de abril,Río de Janeiro,Flamengo,Blooming,1983,7,1
26 de abril,Porto Alegre,Gremio,Blooming,1983,2,0
31 de mayo,Porto Alegre,Gremio,Bolívar,1983,3,1
3 de junio,Río de Janeiro,Flamengo,Bolívar,1983,5,2
5 de junio,Río de Janeiro,Flamengo,Gremio,1983,1,3
12 de marzo,Lima,Universitario,Alianza Lima,1983,0,0
16 de marzo,Cali,América de Cali,Deportes Tolima,1983,1,1
19 de marzo,Lima,Universitario,Deportes Tolima,1983,2,2
23 de marzo,Lima,Alianza Lima,Deportes Tolima,1983,0,1
27 de marzo,Lima,Alianza Lima,América de Cali,1983,1,2
30 de marzo,Lima,Universitario,América de Cali,1983,1,1
13 de abril,Lima,Alianza Lima,Universitario,1983,2,1
13 de abril,Ibagué,Deportes Tolima,América de Cali,1983,0,2
24 de abril,Cali,América de Cali,Universitario,1983,2,0
24 de abril,Ibagué,Deportes Tolima,Alianza Lima,1983,0,0
27 de abril,Cali,América de Cali,Alianza Lima,1983,2,0
27 de abril,Ibagué,Deportes Tolima,Universitario,1983,1,1
27 de marzo,Quito,El Nacional,Barcelona,1983,3,1
27 de marzo,San Cristóbal,Atlético San Cristóbal,Deportivo Táchira,1983,2,0
6 de abril,San Cristóbal,Atlético San Cristóbal,Barcelona,1983,2,0
10 de abril,San Cristóbal,Deportivo Táchira,Barcelona,1983,1,1
13 de abril,San Cristóbal,Deportivo Táchira,El Nacional,1983,0,0
17 de abril,San Cristóbal,Atlético San Cristóbal,El Nacional,1983,1,0
24 de abril,San Cristóbal,Deportivo Táchira,Atlético San Cristóbal,1983,0,0
24 de abril,Guayaquil,Barcelona,El Nacional,1983,2,0
6 de mayo,Quito,El Nacional,Deportivo Táchira,1983,3,0
8 de mayo,Guayaquil,Barcelona,Atlético San Cristóbal,1983,3,3
11 de mayo,Quito,El Nacional,Atlético San Cristóbal,1983,1,0
6 de abril,Montevideo,Nacional (URU),Montevideo Wanderers,1983,1,1
6 de abril,Asunción,Olimpia,Nacional (PAR),1983,1,2
12 de abril,Montevideo,Montevideo Wanderers,Nacional (PAR),1983,3,1
15 de abril,Montevideo,Nacional (URU),Nacional (PAR),1983,4,2
20 de abril,Asunción,Olimpia,Nacional (URU),1983,0,1
27 de abril,Asunción,Nacional (PAR),Olimpia,1983,0,0
27 de abril,Montevideo,Montevideo Wanderers,Nacional (URU),1983,1,0
3 de mayo,Asunción,Nacional (PAR),Montevideo Wanderers,1983,1,1
6 de mayo,Asunción,Olimpia,Montevideo Wanderers,1983,2,3
11 de mayo,Asunción,Nacional (PAR),Nacional (URU),1983,0,3
16 de mayo,Montevideo,Montevideo Wanderers,Olimpia,1983,0,0
23 de mayo,Montevideo,Nacional (URU),Olimpia,1983,3,0
21 de junio,Porto Alegre,Gremio,Estudiantes (LP),1983,2,1
24 de junio,Cali,América de Cali,Gremio,1983,1,0
1 de julio,La Plata,Estudiantes (LP),América de Cali,1983,2,0
6 de julio,Porto Alegre,Gremio,América de Cali,1983,2,1
8 de julio,La Plata,Estudiantes (LP),Gremio,1983,3,3
15 de julio,Cali,América de Cali,Estudiantes (LP),1983,0,0
18 de junio,San Cristóbal,Atlético San Cristóbal,Peñarol,1983,0,0
26 de junio,San Cristóbal,Atlético San Cristóbal,Nacional,1983,1,2
5 de julio,Montevideo,Peñarol,Nacional,1983,2,0
8 de julio,Montevideo,Nacional,Atlético San Cristóbal,1983,5,1
13 de julio,Montevideo,Peñarol,Atlético San Cristóbal,1983,1,0
15 de julio,Montevideo,Nacional,Peñarol,1983,1,2
22 de julio,Montevideo,Peñarol,Gremio,1983,1,1
28 de julio,Porto Alegre,Gremio,Peñarol,1983,2,1
29 de febrero,La Plata,Estudiantes (LP),Independiente,1984,1,1
8 de marzo,Asunción,Olimpia,Sportivo Luqueño,1984,0,0
13 de marzo,Asunción,Sportivo Luqueño,Independiente,1984,0,1
16 de marzo,Asunción,Olimpia,Independiente,1984,1,0
20 de marzo,Asunción,Sportivo Luqueño,Estudiantes (LP),1984,0,0
23 de marzo,Asunción,Olimpia,Estudiantes (LP),1984,2,1
27 de marzo,La Plata,Estudiantes (LP),Sportivo Luqueño,1984,1,1
30 de marzo,Avellaneda,Independiente,Sportivo Luqueño,1984,2,0
13 de abril,Avellaneda,Independiente,Estudiantes (LP),1984,4,1
13 de abril,Asunción,Sportivo Luqueño,Olimpia,1984,1,2
24 de abril,Avellaneda,Independiente,Olimpia,1984,3,2
27 de abril,La Plata,Estudiantes (LP),Olimpia,1984,0,1
14 de marzo,Santiago,Universidad Católica,O'Higgins,1984,2,0
17 de marzo,La Paz,Bolívar,Blooming,1984,0,0
21 de marzo,La Paz,Bolívar,Universidad Católica,1984,3,2
25 de marzo,Santa Cruz,Blooming,Universidad Católica,1984,1,2
28 de marzo,Santa Cruz,Blooming,O'Higgins,1984,3,0
1 de abril,La Paz,Bolívar,O'Higgins,1984,5,1
24 de abril,Santa Cruz,Blooming,Bolívar,1984,2,1
25 de abril,Rancagua,O'Higgins,Universidad Católica,1984,0,2
2 de mayo,Rancagua,O'Higgins,Blooming,1984,3,4
6 de mayo,Santiago,Universidad Católica,Blooming,1984,0,0
9 de mayo,Rancagua,O'Higgins,Bolívar,1984,0,0
13 de mayo,Santiago,Universidad Católica,Bolívar,1984,3,1
11 de febrero,Río de Janeiro,Flamengo,Santos,1984,4,1
21 de marzo,Cali,América de Cali,Junior,1984,2,0
27 de marzo,Cali,América de Cali,Flamengo,1984,1,1
29 de marzo,Barranquilla,Junior,Flamengo,1984,1,2
3 de abril,Barranquilla,Junior,Santos,1984,0,3
5 de abril,Cali,América de Cali,Santos,1984,1,0
12 de abril,Barranquilla,Junior,América de Cali,1984,4,1
20 de abril,São Paulo,Santos,Flamengo,1984,0,5
27 de abril,São Paulo,Santos,América de Cali,1984,0,1
3 de mayo,Río de Janeiro,Flamengo,América de Cali,1984,4,2
8 de mayo,São Paulo,Santos,Junior,1984,1,3
10 de mayo,Río de Janeiro,Flamengo,Junior,1984,3,1
28 de marzo,Montevideo,Danubio,Nacional,1984,0,1
4 de abril,Quito,El Nacional,9 de Octubre,1984,3,1
8 de abril,Quito,9 de Octubre,Danubio,1984,2,2
8 de abril,Quito,El Nacional,Nacional,1984,3,1
15 de abril,Quito,9 de Octubre,Nacional,1984,1,3
15 de abril,Quito,El Nacional,Danubio,1984,3,0
25 de abril,Quito,9 de Octubre,El Nacional,1984,2,2
26 de abril,Montevideo,Nacional,Danubio,1984,1,0
3 de mayo,Montevideo,Nacional,El Nacional,1984,1,1
4 de mayo,Montevideo,Danubio,9 de Octubre,1984,5,1
8 de mayo,Montevideo,Danubio,El Nacional,1984,1,0
9 de mayo,Montevideo,Nacional,9 de Octubre,1984,6,0
11 de marzo,Trujillo,Sporting Cristal,Melgar,1984,3,2
18 de marzo,Mérida,Universidad de Los Andes,Portuguesa,1984,2,0
21 de marzo,Acarigua,Portuguesa,Sporting Cristal,1984,1,0
21 de marzo,Mérida,Universidad de Los Andes,Melgar,1984,1,0
25 de marzo,Acarigua,Portuguesa,Melgar,1984,4,0
25 de marzo,Mérida,Universidad de Los Andes,Sporting Cristal,1984,0,1
1 de abril,Arequipa,Melgar,Sporting Cristal,1984,2,0
1 de abril,Acarigua,Portuguesa,Universidad de Los Andes,1984,1,2
4 de abril,Trujillo,Sporting Cristal,Portuguesa,1984,2,1
5 de abril,Arequipa,Melgar,Universidad de Los Andes,1984,0,1
8 de abril,Arequipa,Melgar,Portuguesa,1984,1,2
8 de abril,Trujillo,Sporting Cristal,Universidad de Los Andes,1984,2,0
